"number","SnowCorrFactor","ThresTempRain","ThresTempSnow","IrriducibleWatSatSnow","SnowAgingCoeffVis","SnowAgingCoeffNIR","RMSE","NRMSE","NSE","R2"
"0035",0.842167375278892,0.335689097994007,-1.89690792541672,0.04,0.25,0.45,150.740358323554,0.342348578165631,-1.66680722134622,0.341313345467745
"0036",1.24097718564281,1.56917072351184,-3.67328782909177,0.04,0.25,0.45,297.631722572729,0.675955650981358,-9.39659129679026,0.364117175185617
"0037",1.09858125015232,3.08667599528003,-0.489748614115641,0.04,0.25,0.45,301.340466147718,0.684378631421361,-9.65730628601201,0.403438166306279
"0038",0.771873613282805,2.52530609440617,-1.9815297427075,0.04,0.25,0.45,162.453179996745,0.368949734556127,-2.09734063277761,0.410136074216963
"0039",0.638192818005802,3.67020552838687,-2.2178712154841,0.04,0.25,0.45,121.283160320757,0.27544791556169,-0.726368670101935,0.424501213780425
"0040",1.4617605424996,2.81070057401247,-0.689223242535256,0.04,0.25,0.45,442.594813107442,1.0051833938565,-21.9903284523205,0.396213364053365
"0041",0.807581400775583,0.637858722870238,-0.687481189827435,0.04,0.25,0.45,170.731846932182,0.387751533131996,-2.4210672601574,0.379847872484735
"0042",1.03401580203394,3.76455567872804,-3.20356947169825,0.04,0.25,0.45,266.428877762679,0.605090425011053,-7.33096148770277,0.412207854063276
"0043",1.25283559406782,0.995622493188828,-1.58765035745222,0.04,0.25,0.45,322.358687228334,0.732113413151645,-11.1958280574166,0.383598417285144
"0044",0.585763989954255,3.00708808110002,-2.1870777670648,0.04,0.25,0.45,104.096323589076,0.236414645482643,-0.271754605763662,0.376434266949316
"0045",0.869711424463894,0.751577485688962,-1.30731325565279,0.04,0.25,0.45,184.752571385805,0.419594200450372,-3.0060237444762,0.385852718972785
"0046",1.08867940995726,0.3126157901939,-0.748728928280994,0.04,0.25,0.45,255.967835967565,0.581332203758841,-6.68959256968124,0.367483366799326
"0047",0.966926808113232,0.863808151642792,-3.55392180665676,0.04,0.25,0.45,184.962655200114,0.420071324797988,-3.01513949575411,0.340690626479434
"0048",0.663616132935742,3.32561397018284,-0.267365001049824,0.04,0.25,0.45,127.588690270422,0.289768494581513,-0.910543342439602,0.395177129106381
"0049",1.25605659383512,2.75670512466133,-1.61460674634483,0.04,0.25,0.45,356.01230059113,0.808544614543376,-13.8751907304402,0.407206376780806
"0050",0.662802208741894,1.19897443872597,-2.8366385821756,0.04,0.25,0.45,103.263082098523,0.234522258846895,-0.251476510336662,0.36291268465715
"0051",0.725672033866635,0.349220160296187,-1.88417506589089,0.04,0.25,0.45,117.320708383757,0.266448734441464,-0.615406734391409,0.330517867004085
"0052",1.27733861275692,2.60584556342475,-1.88343735531252,0.04,0.25,0.45,357.5896746373,0.812127011241562,-14.007296951651,0.40385678841889
"0053",0.886435294161551,3.76834676376358,-3.77628360105772,0.04,0.25,0.45,199.718315505688,0.453583115413912,-3.68131995225582,0.400198189106705
"0054",1.03822824851819,0.745682474385016,-2.05856500014383,0.04,0.25,0.45,234.316011731938,0.532158436864586,-5.44371715864938,0.359423398999358
"0055",1.18583574460959,0.980252667552792,-0.525221106960438,0.04,0.25,0.45,323.332039400448,0.734324007155026,-11.2695891069164,0.402512755312266
"0056",1.2583574234792,1.74593044793513,-1.75070046807453,0.04,0.25,0.45,343.378128495383,0.779850966064744,-12.8381423704209,0.398567138305524
"0057",0.740492962026969,3.52111655257829,-3.53361468355544,0.04,0.25,0.45,148.394679090423,0.337021272597129,-1.58445630361924,0.414967945671943
"0058",0.902068065433996,2.14885879284143,-3.0530342793148,0.04,0.25,0.45,201.427495546373,0.457464858586511,-3.7617878415854,0.360862653582629
"0059",0.573210563252913,2.20188631128985,-0.900335874236189,0.04,0.25,0.45,95.8643501072802,0.217718893075441,-0.0785661860798874,0.435537656603699
"0060",0.756219714468112,3.28283505404461,-1.91163464456238,0.04,0.25,0.45,163.16906472012,0.370575590563792,-2.12469896988543,0.420994248757152
"0061",0.882279264837969,3.4229059791211,-1.22318691934366,0.04,0.25,0.45,217.660531860216,0.494331938930227,-4.56021913476081,0.421482602929165
"0062",0.551112068513874,2.93114353928249,-3.62427686173748,0.04,0.25,0.45,94.4230747692973,0.214445592094926,-0.0463785131111774,0.350802907261204
"0063",1.33016447597928,2.82579414208699,-0.742858998436481,0.04,0.25,0.45,394.824900035121,0.896692462819296,-17.2953871496141,0.41341197076943
"0064",0.701516076692147,1.35397930069361,-3.23251182122249,0.04,0.25,0.45,116.794176119685,0.265252919505316,-0.600939465603033,0.370713232905696
"0065",0.628189094132977,2.66646741573419,-2.65027813388128,0.04,0.25,0.45,108.163072999185,0.245650698081895,-0.373063336324097,0.40581362878847
"0066",1.22158068579715,3.81174284420907,-3.30322459963243,0.04,0.25,0.45,337.645177024302,0.766830778195717,-12.3799237054087,0.400337144652494
"0067",0.890177471495466,2.64815493591875,-3.83241066945251,0.04,0.25,0.45,191.337827753155,0.434550070127819,-3.29669190998174,0.390292515494492
"0068",0.633852495834231,0.580551833527163,-1.14145562905446,0.04,0.25,0.45,104.192149995109,0.23663227820039,-0.274097123961793,0.334700227680115
"0069",1.27840203515277,2.29898618432228,-2.63847829477396,0.04,0.25,0.45,338.173111953049,0.768029778743618,-12.4217975534512,0.389942475369594
