"number","org.Ks","org.vwc_s","org.vwc_r","org.vwc_fc","org.vwc_wp","org.VG_alpha","org.VG_n","org.thermcond","org.thermcap","min.Ks","min.vwc_s","min.vwc_r","min.vwc_fc","min.vwc_wp","min.VG_alpha","min.VG_n","min.thermcond","min.thermcap","period","variable","RMSE.mean","NRMSE.mean","R2.mean","NSE.mean"
"0013",0.273929923144984,0.55,0.01,0.0406742839136263,0.0112605386554406,0.00933499398484361,1.83651160990214,10.0830357441405,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.150772153699843,0.304324598588178,0.523788048747898,-0.464045661368532
"0013",0.273929923144984,0.55,0.01,0.0406742839136263,0.0112605386554406,0.00933499398484361,1.83651160990214,10.0830357441405,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.62308149727729,0.238475201066731,0.752863027909918,0.0719286962025858
"0013",0.273929923144984,0.55,0.01,0.0406742839136263,0.0112605386554406,0.00933499398484361,1.83651160990214,10.0830357441405,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.167118997693076,0.313691116934392,0.390183537416018,0.130606803583701
"0014",0.20006708221178,0.55,0.01,0.361519439535641,0.162062584592928,0.00189099351216806,1.22435445485031,2.58759430410864,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.46438025179587,0.232565461815585,0.803498615439098,0.118785900232212
"0014",0.20006708221178,0.55,0.01,0.361519439535641,0.162062584592928,0.00189099351216806,1.22435445485031,2.58759430410864,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.126816831276003,0.250598766360282,0.54162466878921,0.330319736646838
"0014",0.20006708221178,0.55,0.01,0.361519439535641,0.162062584592928,0.00189099351216806,1.22435445485031,2.58759430410864,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",5.35668122239342,0.280773926701287,0.712998838539747,-0.25213567613915
"0014",0.20006708221178,0.55,0.01,0.361519439535641,0.162062584592928,0.00189099351216806,1.22435445485031,2.58759430410864,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.159619267487331,0.313972933863208,0.411034070724385,0.158729063554628
"0015",0.904855288215443,0.55,0.01,0.110728194565432,0.0119713414336644,0.00150524172829464,2.03565914000524,0.426767771819141,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",3.41679601233758,0.17448849612009,0.854452464707635,0.514400215694708
"0015",0.904855288215443,0.55,0.01,0.110728194565432,0.0119713414336644,0.00150524172829464,2.03565914000524,0.426767771819141,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.138169713056419,0.268098046175931,0.560080188147063,0.164434365609333
"0015",0.904855288215443,0.55,0.01,0.110728194565432,0.0119713414336644,0.00150524172829464,2.03565914000524,0.426767771819141,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.157469501467018,0.295830492998996,0.540153772042499,0.247121993085727
